match_id,season_id,season_name,round,group_name,group_sign,status_code,status_description,winner_code,home_team_id,home_team_name,home_team_code,home_score,home_score_p1,home_score_p2,away_team_id,away_team_name,away_team_code,away_score,away_score_p1,away_score_p2,start_timestamp,start_datetime,injury_time_1,injury_time_2,has_xg,has_player_stats,has_heatmaps,attendance,venue_name,venue_city,venue_country,venue_capacity,referee_name,referee_country,home_manager,away_manager
15186905,58210,World Cup 2026,2,Group E,E,100,Ended,1,4711,Germany,GER,2,0,2,4768,Côte d'Ivoire,CIV,1,1,0,1781985600,2026-06-20T20:00:00,7,6,True,True,True,43036,BMO Field,Toronto,Canada,45700,Juan Gabriel Benitez,Paraguay,,Emerse Faé
15186906,58210,World Cup 2026,2,Group E,E,100,Ended,3,4757,Ecuador,ECU,0,0,0,55827,Curaçao,CUR,0,0,0,1782000000,2026-06-21T00:00:00,4,5,True,True,True,68598,Arrowhead Stadium,Kansas City,USA,76416,Ma Ning,China,Sebastian Beccacece,Dick Advocaat
15186963,58210,World Cup 2026,2,Group F,F,100,Ended,2,4729,Tunisia,TUN,0,0,0,4770,Japan,JPN,4,2,2,1782014400,2026-06-21T04:00:00,4,6,True,True,True,51243,Estadio BBVA,Monterrey,Mexico,53500,Istvan Kovacs,Romania,Hervé Renard,Hajime Moriyasu
15186840,58210,World Cup 2026,2,Group H,H,100,Ended,1,4698,Spain,ESP,4,3,1,4834,Saudi Arabia,KSA,0,0,0,1782057600,2026-06-21T16:00:00,5,6,True,True,True,68239,Mercedes-Benz Stadium,Atlanta,USA,71000,Raphael Claus,Brazil,Luis De La Fuente,Georgios Donis
15186499,58210,World Cup 2026,2,Group G,G,100,Ended,3,4717,Belgium,BEL,0,0,0,4766,Iran,IRI,0,0,0,1782068400,2026-06-21T19:00:00,8,5,True,True,True,70317,SoFi Stadium,Inglewood,USA,70242,Dario Herrera,Argentina,Rudi Garcia,Amir Ghalenoei
15186800,58210,World Cup 2026,2,Group H,H,100,Ended,3,4725,Uruguay,URU,2,2,0,4753,Cabo Verde,CPV,2,1,1,1782079200,2026-06-21T22:00:00,5,8,True,True,True,64003,Hard Rock Stadium,Miami Gardens,USA,65326,Espen Eskas,Norway,Marcelo Bielsa,Bubista
15186827,58210,World Cup 2026,2,Group G,G,100,Ended,2,4784,New Zealand,NZL,1,1,0,4758,Egypt,EGY,3,0,3,1782090000,2026-06-22T01:00:00,4,7,True,True,True,52497,BC Place,Vancouver,Canada,54500,Omar Mohamed Al Ali,United Arab Emirates,Darren Bazeley,Hossam Hassan
15186502,58210,World Cup 2026,2,Group J,J,100,Ended,1,4819,Argentina,ARG,2,1,1,4718,Austria,AUT,0,0,0,1782147600,2026-06-22T17:00:00,7,5,True,True,True,70649,AT&T Stadium,Arlington,USA,80000,Amin Mohamed Omar,Egypt,Lionel Scaloni,Ralf Rangnick
15186769,58210,World Cup 2026,2,Group I,I,100,Ended,1,4481,France,FRA,3,1,2,4767,Iraq,IRA,0,0,0,1782162000,2026-06-22T21:00:00,3,2,True,True,True,68324,Lincoln Financial Field,Philadelphia,USA,69176,Drew Fischer,Canada,Didier Deschamps,Graham Arnold
15186770,58210,World Cup 2026,2,Group I,I,100,Ended,1,4475,Norway,NOR,3,1,2,4739,Senegal,SEN,2,0,2,1782172800,2026-06-23T00:00:00,4,9,True,True,True,80663,MetLife Stadium,East Rutherford,USA,82500,Wilton Pereira Sampaio,Brazil,Ståle Solbakken,Pape Thiaw
15186740,58210,World Cup 2026,2,Group J,J,100,Ended,2,4771,Jordan,JOR,1,1,0,4691,Algeria,DZA,2,0,2,1782183600,2026-06-23T03:00:00,5,7,True,True,True,68371,Levi's Stadium,Santa Clara,USA,68500,Slavko Vinčić,Slovenia,Jamal Sellami,Vladimir Petković
15186858,58210,World Cup 2026,2,Group K,K,100,Ended,1,4704,Portugal,POR,5,3,2,4723,Uzbekistan,UZB,0,0,0,1782234000,2026-06-23T17:00:00,6,5,True,True,True,68777,NRG Stadium,Houston,USA,72220,Jalal Jayed,Morocco,Roberto Martínez,Fabio Cannavaro
15186672,58210,World Cup 2026,2,Group L,L,100,Ended,3,4713,England,ENG,0,0,0,4764,Ghana,GHA,0,0,0,1782244800,2026-06-23T20:00:00,6,6,True,True,True,63983,Gillette Stadium,Foxborough,USA,66829,Said Martinez,Honduras,Thomas Tuchel,Carlos Queiroz
15186520,58210,World Cup 2026,2,Group L,L,100,Ended,2,5164,Panama,PAN,0,0,0,4715,Croatia,CRO,1,0,1,1782255600,2026-06-23T23:00:00,3,5,True,True,True,43036,BMO Field,Toronto,Canada,45700,Pierre Ghislain Atcho,Gabon,Thomas Christiansen,Zlatko Dalić
15186713,58210,World Cup 2026,2,Group K,K,100,Ended,1,4820,Colombia,COL,1,0,1,4823,DR Congo,DCO,0,0,0,1782266400,2026-06-24T02:00:00,5,6,True,True,True,45358,Estadio Akron,Guadalajara,Mexico,46355,Maurizio Mariani,Italy,Nestor Lorenzo,Sebastien Desabre
15186829,58210,World Cup 2026,3,Group B,B,100,Ended,1,4479,Bosnia & Herzegovina,BIH,3,2,1,4792,Qatar,QAT,1,1,0,1782327600,2026-06-24T19:00:00,5,6,True,True,True,66925,Lumen Field,Seattle,USA,68740,Jesús Valenzuela,Venezuela,Sergej Barbarez,Julen Lopetegui
15186821,58210,World Cup 2026,3,Group B,B,100,Ended,1,4699,Switzerland,SUI,2,0,2,4752,Canada,CAN,1,0,1,1782327600,2026-06-24T19:00:00,4,6,True,True,True,52497,BC Place,Vancouver,Canada,54500,Ramon Abatti Abel,Brazil,Murat Yakin,Jesse Marsch
15186864,58210,World Cup 2026,3,Group C,C,100,Ended,1,4778,Morocco,MAR,4,2,2,7229,Haiti,HAI,2,2,0,1782338400,2026-06-24T22:00:00,5,5,True,True,True,68239,Mercedes-Benz Stadium,Atlanta,USA,71000,Danny Makkelie,Netherlands,Mohamed Ouahbi,Sébastien Migné
15186861,58210,World Cup 2026,3,Group C,C,100,Ended,2,4695,Scotland,SCO,0,0,0,4748,Brazil,BRA,3,2,1,1782338400,2026-06-24T22:00:00,6,6,True,True,True,64478,Hard Rock Stadium,Miami Gardens,USA,65326,César Ramos Palazuelos,Mexico,Steve Clarke,Carlo Ancelotti
15186732,58210,World Cup 2026,3,Group A,A,100,Ended,2,4714,Czechia,CZE,0,0,0,4781,Mexico,MEX,3,0,3,1782349200,2026-06-25T01:00:00,4,6,True,True,True,80824,Estadio Azteca,Mexico City,Mexico,87523,Yael Falcon Perez,Argentina,Miroslav Koubek,Javier Aguirre
15186744,58210,World Cup 2026,3,Group A,A,100,Ended,1,4736,South Africa,RSA,1,0,1,4735,South Korea,KOR,0,0,0,1782349200,2026-06-25T01:00:00,4,6,True,True,True,51243,Estadio BBVA,Monterrey,Mexico,53500,Facundo Raul Tello Figueroa,Argentina,Hugo Broos,Myung Bo Hong
15186908,58210,World Cup 2026,3,Group E,E,100,Ended,2,55827,Curaçao,CUR,0,0,0,4768,Côte d'Ivoire,CIV,2,1,1,1782417600,2026-06-25T20:00:00,4,6,True,True,True,68324,Lincoln Financial Field,Philadelphia,USA,69176,Glenn Nyberg,Sweden,Dick Advocaat,Emerse Faé
15186907,58210,World Cup 2026,3,Group E,E,100,Ended,1,4757,Ecuador,ECU,2,1,1,4711,Germany,GER,1,1,0,1782417600,2026-06-25T20:00:00,4,7,True,True,True,80663,MetLife Stadium,East Rutherford,USA,82500,Tori Penso,USA,Sebastian Beccacece,
15186972,58210,World Cup 2026,3,Group F,F,100,Ended,3,4770,Japan,JPN,1,0,1,4688,Sweden,SWE,1,0,1,1782428400,2026-06-25T23:00:00,5,7,True,True,True,70137,AT&T Stadium,Arlington,USA,80000,Iván Barton,El Salvador,Hajime Moriyasu,Graham Potter
15186973,58210,World Cup 2026,3,Group F,F,100,Ended,2,4729,Tunisia,TUN,1,0,1,4705,Netherlands,NED,3,2,1,1782428400,2026-06-25T23:00:00,3,5,True,True,True,70137,Arrowhead Stadium,Kansas City,USA,76416,Katia García,Mexico,Hervé Renard,Ronald Koeman
15186891,58210,World Cup 2026,3,Group D,D,100,Ended,3,4789,Paraguay,PAR,0,0,0,4741,Australia,AUS,0,0,0,1782439200,2026-06-26T02:00:00,6,5,True,True,True,68827,Levi's Stadium,Santa Clara,USA,68500,Clement Turpin,France,Gustavo Alfaro,Tony Popovic
15186887,58210,World Cup 2026,3,Group D,D,100,Ended,1,4700,Türkiye,TUR,3,2,1,4724,USA,USA,2,1,1,1782439200,2026-06-26T02:00:00,6,7,True,True,True,70492,SoFi Stadium,Inglewood,USA,70242,Mustapha Ghorbal,Algeria,Vincenzo Montella,Mauricio Pochettino
15186537,58210,World Cup 2026,3,Group I,I,100,Ended,2,4475,Norway,NOR,1,1,0,4481,France,FRA,4,3,1,1782500400,2026-06-26T19:00:00,5,5,True,True,True,64146,Gillette Stadium,Foxborough,USA,66829,Michael Oliver,England,Ståle Solbakken,Didier Deschamps
15186771,58210,World Cup 2026,3,Group I,I,100,Ended,1,4739,Senegal,SEN,5,1,4,4767,Iraq,IRA,0,0,0,1782500400,2026-06-26T19:00:00,9,6,True,True,True,43036,BMO Field,Toronto,Canada,45700,Anthony Taylor,England,Pape Thiaw,Graham Arnold
15186803,58210,World Cup 2026,3,Group H,H,100,Ended,3,4753,Cabo Verde,CPV,0,0,0,4834,Saudi Arabia,KSA,0,0,0,1782518400,2026-06-27T00:00:00,6,5,True,True,True,68278,NRG Stadium,Houston,USA,72220,François Letexier,France,Bubista,Georgios Donis
15186841,58210,World Cup 2026,3,Group H,H,100,Ended,2,4725,Uruguay,URU,0,0,0,4698,Spain,ESP,1,1,0,1782518400,2026-06-27T00:00:00,8,5,True,True,True,45065,Estadio Akron,Guadalajara,Mexico,46355,Ismail Elfath,USA,Marcelo Bielsa,Luis De La Fuente
15186828,58210,World Cup 2026,3,Group G,G,100,Ended,3,4758,Egypt,EGY,1,1,0,4766,Iran,IRI,1,1,0,1782529200,2026-06-27T03:00:00,5,6,True,True,True,66925,Lumen Field,Seattle,USA,68740,Szymon Marciniak,Poland,Hossam Hassan,Amir Ghalenoei
15186822,58210,World Cup 2026,3,Group G,G,100,Ended,2,4784,New Zealand,NZL,1,0,1,4717,Belgium,BEL,5,1,4,1782529200,2026-06-27T03:00:00,6,4,True,True,True,52497,BC Place,Vancouver,Canada,54500,Adham Mohammad,Jordan,Darren Bazeley,Rudi Garcia
15186624,58210,World Cup 2026,3,Group L,L,100,Ended,1,4715,Croatia,CRO,2,1,1,4764,Ghana,GHA,1,0,1,1782594000,2026-06-27T21:00:00,3,7,True,True,True,68324,Lincoln Financial Field,Philadelphia,USA,69176,Drew Fischer,Canada,Zlatko Dalić,Carlos Queiroz
15186676,58210,World Cup 2026,3,Group L,L,100,Ended,2,5164,Panama,PAN,0,0,0,4713,England,ENG,2,0,2,1782594000,2026-06-27T21:00:00,3,6,True,True,True,80663,MetLife Stadium,East Rutherford,USA,82500,Abdulrahman Al-Jassim,Qatar,Thomas Christiansen,Thomas Tuchel
15186696,58210,World Cup 2026,3,Group K,K,100,Ended,3,4820,Colombia,COL,0,0,0,4704,Portugal,POR,0,0,0,1782603000,2026-06-27T23:30:00,3,5,True,True,True,64478,Hard Rock Stadium,Miami Gardens,USA,65326,Alireza Faghani,Australia,Nestor Lorenzo,Roberto Martínez
15186717,58210,World Cup 2026,3,Group K,K,100,Ended,1,4823,DR Congo,DCO,3,0,3,4723,Uzbekistan,UZB,1,1,0,1782603000,2026-06-27T23:30:00,7,8,True,True,True,68239,Mercedes-Benz Stadium,Atlanta,USA,71000,Felix Zwayer,Germany,Sebastien Desabre,Fabio Cannavaro
15186747,58210,World Cup 2026,3,Group J,J,100,Ended,3,4691,Algeria,DZA,3,1,2,4718,Austria,AUT,3,1,2,1782612000,2026-06-28T02:00:00,4,4,True,True,True,69045,Arrowhead Stadium,Kansas City,USA,76416,Ilgiz Tantashev,Uzbekistan,Vladimir Petković,Ralf Rangnick
15186734,58210,World Cup 2026,3,Group J,J,100,Ended,2,4771,Jordan,JOR,1,0,1,4819,Argentina,ARG,3,2,1,1782612000,2026-06-28T02:00:00,5,5,True,True,True,70649,AT&T Stadium,Arlington,USA,80000,Istvan Kovacs,Romania,Jamal Sellami,Lionel Scaloni
