match_id,team,is_home,ballPossession,kilometersCovered,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,numberOfSprints,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,redCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,accurateThroughBall,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,errorsLeadToGoal,goalsPrevented,diveSaves,highClaims,punches,goalKicks,bigChanceMissed,penaltySaves
15186906,Curaçao,False,25,99.64,0.5,0.0,10,15,155,0,10,227,17,7,5.0,,3,0,4,3,4,6,,0.0,12,1.0,2.0,159,15,28,32,15,1,50,7,33,19,9,7,8,57,32,1.0,,2.2732,5.0,,,14,0.0,
15186963,Tunisia,True,38,90.41,0.05,0.0,2,1,78,3,8,354,18,15,,,0,0,1,1,1,1,0.0,0.0,8,0.0,1.0,284,29,59,42,16,2,47,13,34,4,2,16,14,38,23,1.0,1.0,-1.2652,1.0,0.0,1.0,4,0.0,
15186963,Japan,False,62,93.62,2.13,4.0,11,0,81,5,15,583,18,8,,,5,0,3,3,8,3,2.0,1.0,17,1.0,1.0,521,23,70,95,18,2,53,7,29,14,4,12,7,35,25,0.0,0.0,0.0,0.0,1.0,0.0,5,2.0,
15186840,Spain,True,67,107.0,2.3,5.0,22,1,128,6,10,726,10,2,0.0,,8,1,12,2,13,9,3.0,2.0,37,,2.0,668,16,66,213,28,7,44,6,18,11,7,8,13,55,17,1.0,,0.0964,1.0,1.0,,1,2.0,
15186840,Saudi Arabia,False,33,110.95,0.14,0.0,3,5,122,1,2,364,15,10,2.0,,1,0,1,1,0,3,0.0,0.0,2,,3.0,294,15,44,55,14,0,56,6,33,4,8,12,13,37,35,4.0,,-0.5481,1.0,0.0,,16,0.0,
15186499,Belgium,True,70,103.19,1.79,1.0,23,3,78,4,7,621,12,9,1.0,1.0,7,0,10,6,20,3,,2.0,42,3.0,3.0,533,26,79,205,12,6,55,12,34,18,14,7,3,63,11,1.0,,0.8693,2.0,0.0,0.0,4,1.0,
15186499,Iran,False,30,104.21,0.62,1.0,7,7,69,2,9,270,19,7,1.0,0.0,3,0,3,1,6,1,,0.0,15,1.0,4.0,198,8,43,30,18,2,45,9,26,17,2,11,12,52,51,2.0,,1.489,1.0,3.0,1.0,12,1.0,
15186800,Uruguay,True,65,101.69,2.32,2.0,17,2,139,11,11,511,16,4,2.0,,2,1,8,7,9,8,2.0,0.0,34,1.0,3.0,420,30,74,142,23,4,46,5,27,20,7,8,7,44,11,,2.0,-0.741,,0.0,,4,,
15186800,Cabo Verde,False,35,97.45,0.88,1.0,12,0,91,4,4,278,16,11,2.0,,4,0,4,4,2,10,1.0,1.0,10,3.0,0.0,205,19,31,21,18,2,54,11,39,16,12,15,13,43,48,,0.0,-0.3494,,1.0,,12,,
15186827,New Zealand,True,44,94.11,1.24,3.0,11,4,83,4,14,421,12,8,2.0,,5,0,3,3,6,5,1.0,,17,0.0,3.0,337,21,45,53,20,3,44,8,27,16,7,6,4,55,22,2.0,,-0.4503,0.0,0.0,0.0,10,2.0,
15186827,Egypt,False,56,81.76,1.87,3.0,19,4,96,3,8,526,16,14,1.0,,7,0,6,6,12,7,1.0,,36,5.0,0.0,460,23,73,135,22,7,56,7,34,20,7,13,6,56,37,2.0,,0.6235,2.0,2.0,3.0,3,2.0,
15186502,Argentina,True,54,82.32,2.36,3.0,12,1,68,1,13,554,21,12,2.0,,5,0,4,3,10,2,,2.0,19,4.0,2.0,494,12,40,75,12,1,52,7,39,11,6,11,8,42,35,0.0,,0.0489,,2.0,,6,3.0,
15186502,Austria,False,46,93.8,0.53,1.0,6,2,65,3,13,468,12,13,2.0,,1,0,5,0,4,2,,0.0,18,4.0,0.0,401,20,58,110,11,3,48,11,30,16,6,7,9,27,15,1.0,,-0.4881,,0.0,,4,1.0,
15186769,France,True,56,96.08,2.67,5.0,19,0,84,4,8,603,14,4,0.0,,5,1,10,4,12,7,2.0,3.0,41,0.0,1.0,540,17,87,197,17,2,51,8,30,10,12,9,5,53,9,0.0,0.0,0.0,,,0.0,4,3.0,
15186769,Iraq,False,44,100.08,0.63,1.0,4,2,80,2,4,481,16,8,1.0,,0,0,3,1,3,1,0.0,0.0,7,1.0,0.0,413,15,32,34,21,4,49,9,30,8,6,8,10,44,28,1.0,1.0,-0.7237,,,2.0,14,1.0,
15186770,Norway,True,42,105.93,2.2,5.0,13,2,135,5,13,353,10,5,,,7,1,3,3,11,2,2.0,2.0,24,0.0,0.0,282,16,45,60,25,3,40,12,18,20,5,9,8,44,26,0.0,0.0,-0.6466,,0.0,,10,3.0,
15186770,Senegal,False,58,94.66,1.72,3.0,16,3,127,4,5,489,16,13,,,4,0,7,5,10,6,2.0,1.0,26,1.0,4.0,430,20,64,134,37,8,60,4,40,17,11,7,10,42,18,2.0,2.0,-1.049,,1.0,,4,1.0,
15186740,Jordan,True,28,105.01,0.63,1.0,8,6,86,1,11,251,30,6,1.0,,4,0,4,0,4,4,0.0,1.0,13,2.0,1.0,181,28,37,35,23,2,48,9,42,18,7,17,3,56,36,1.0,0.0,0.0972,1.0,0.0,3.0,7,1.0,
15186740,Algeria,False,72,103.18,1.89,3.0,17,3,82,10,6,641,25,11,1.0,,8,0,4,5,11,6,1.0,2.0,30,4.0,0.0,561,23,88,136,19,5,52,11,49,16,14,18,11,58,15,0.0,1.0,-0.3806,0.0,1.0,0.0,6,2.0,
15186858,Portugal,True,66,101.7,2.61,7.0,17,2,135,3,14,624,14,15,1.0,,9,0,5,3,12,5,2.0,5.0,36,8.0,2.0,561,20,78,137,22,5,55,6,43,11,14,10,6,50,16,0.0,,0.092,0.0,2.0,1.0,5,5.0,
